,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,Max Temperature,Avg Temperature,Min Temperature,Dew Point,Precipitation,Snowdepth,Wind,Gust Wind,Sea Level Pressure,elevation
418,Deer Fire,2016-08-05 13:49:00,CAL FIRE Amador - El Dorado Unit,Amador,"off of Deer Ridge Lane and Buena Vista Road, north of Valley Springs ",26,CAL FIRE Amador - El Dorado Unit,-120.8657,38.2581,2016-08-06 10:06:00,2016-08-06,2016-08-05,91.71,73.92,58.29,52.34,0.0,0.0,7.81,0.21,29.83,173.4937591552734
419,Oak Fire,2016-08-12 16:00:00,CAL FIRE Santa Clara Unit,Santa Clara,off Uvas Rd & Watsonville Rd. west of Morgan Hill,25,CAL FIRE Santa Clara Unit,-121.68577,37.06531,2016-08-14 19:50:00,2016-08-14,2016-08-12,81.71,66.85,57.43,54.0,0.0,0.0,7.21,0.14,29.85,122.5675582885742
420,Pilot Fire,2016-08-07 12:18:00,San Bernardino National Forest,San Bernardino,"Pilot Rock & Hwy 138, southeast of Hesperia",8110,"San Bernardino National Forest, California Highway Patrol, California Office of Emergency Services, San Bernardino County Office of Emergency Service, Bureau of Land Management, CALTRANS, San Bernardino County Animal Control, American Red Cross, Southern California Edison",-117.27338,34.28771,2016-08-16 08:00:00,2016-08-16,2016-08-07,96.0,73.99,63.57,56.43,0.0,0.0,4.73,0.0,28.5,1479.755859375
421,Kugelman Fire,2016-08-09 17:30:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"off of Kugelman St and Hwy 53, community of Lower Lake",45,CAL FIRE Sonoma-Lake-Napa Unit,-120.51057,36.09974,2016-08-10 17:00:00,2016-08-10,2016-08-09,96.86,79.45,61.0,53.73,0.0,0.0,5.47,0.0,29.54,558.9989013671875
422,Knoxville Fire,2016-08-09 18:50:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Berryessa Knoxville Rd & East Side Rd, north of Lake Berryessa",36,CAL FIRE Sonoma-Lake-Napa Unit,-122.26015,38.68403,2016-08-10 17:00:00,2016-08-10,2016-08-09,84.14,61.39,49.29,51.2,0.0,0.0,4.46,0.0,29.73,163.3235626220703
423,Mineral Fire,2016-08-09 13:08:00,CAL FIRE Fresno Kings Unit,Fresno,"off Hwy 198 & Mineral Springs Rd, W of Coalinga",7050,"CAL FIRE Fresno Kings Unit, Fresno County Sheriffs Office, Fresno County OES, Fresno County Roads, Bureau Of Land Management, California Department of Corrections, City of Coalinga, California Conservation Corps, California Highway Patrol, CalTrans, Red Cross  www",-120.51057,36.09974,2016-08-18 19:00:00,2016-08-18,2016-08-09,96.86,79.45,61.0,53.73,0.0,0.0,5.47,0.0,29.54,558.9989013671875
424,Blue Cut Fire,2016-08-16 10:44:00,San Bernardino National Forest ,San Bernardino,"off of I-15 and Hwy 138, north of San Bernardino ",36274,"San Bernardino National Forest , BNSF Railway, Union Pacific Railway, Cal Trans, Southern California Edison, LA DWP, American Red Cross, San Bernardino Animal Control, California Department of Corrections and Rehabilitation and the California Highway Patrol",-117.49342,34.30372,2016-08-23 07:45:00,2016-08-23,2016-08-16,102.86,80.24,65.86,44.25,0.0,0.0,2.94,0.0,28.48,1319.34228515625
425,Mountain Fire,2016-08-09 12:14:00,CAL FIRE Shasta-Trinity Unit,Shasta,"Near Iron Mountain Road, south of Keswick ",35,CAL FIRE Shasta-Trinity Unit,-122.47091,40.61213,2016-08-10 17:00:00,2016-08-10,2016-08-09,98.57,83.59,67.57,48.11,0.0,0.0,4.79,0.87,29.3,268.1795654296875
426,Summit Fire,2016-08-12 17:23:00,CAL FIRE Humboldt-Del Norte,Humboldt,Three Creeks Summit and Bair Rd. 8 miles west of Willow Creek,21,CAL FIRE Humboldt-Del Norte,-123.77832,40.9878,2016-08-19 08:30:00,2016-08-19,2016-08-12,63.29,55.79,51.29,53.59,0.0,0.0,4.57,0.39,29.76,947.0880126953124
427,Chimney Fire,2016-08-13 16:03:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,Running Deer Rd & Chimney Rock Rd south of Lake Nacimiento ,46344,"CAL FIRE San Luis Obispo Unit, California Highway Patrol, California State Parks, San Luis Obispo County Sheriff, Red Cross, California Department of Corrections and Rehabilitation, California Conservation Corps, PG&E, San Luis Obispo Air Quality Board, San Luis Obispo Public Works, Paso Robles Fire Department, Monterey Co. Water Resource Board, California Department of Fish and Wildlife, US Army Camp Roberts, CAL-OES, San Luis Obispo County OES, Monterey County Sheriff, Monterey County OES, Fort Hunter Liggett, and Los Padres National Forest.",-120.98316,35.70595,2016-09-06 07:30:00,2016-09-06,2016-08-13,76.0,62.6,56.43,54.22,0.0,0.0,5.73,0.12,29.71,338.2124938964844
428,Clayton Fire,2016-08-13 18:03:00,CALFIRE Sonoma-Lake-Napa Unit,Lake,off Hwy 29 and Clayton Creek south of Lower Lake,3929,"CALFIRE Sonoma-Lake-Napa Unit, CAL FIRE, Multiple local government fire departments, USFS, Department of Fish & Game, CA State Parks, Lake County Sheriffs, CHP, PG&E, CDCR and BLM.",-122.60663999999998,38.89741,2016-08-26 18:00:00,2016-08-26,2016-08-13,84.14,61.39,49.29,51.2,0.0,0.0,4.46,0.0,29.73,436.4545288085938
429,Cedar Fire,2016-08-16 16:35:00,Sequoia National Forest,Kern,"off of Hwy 155 in the Greenhorn Mountains, west of Wofford Heights",29322,Sequoia National Forest,-118.5678,35.7506,2016-10-01 06:00:00,2016-10-01,2016-08-16,103.0,88.67,75.43,40.04,0.0,0.0,6.63,0.0,29.31,1850.334106445312
430,Stafford Fire,2016-08-11 14:57:00,CAL FIRE Humboldt-Del Norte,Humboldt,"Community of Stafford, 7 miles south of Fortuna",23,CAL FIRE Humboldt-Del Norte,-124.05804,40.4572,2016-08-16 08:45:00,2016-08-16,2016-08-11,63.29,55.79,51.29,53.59,0.0,0.0,4.57,0.39,29.76,37.03827285766602
431,Boys Fire,2016-09-11 11:25:00,CAL FIRE Amador- El Dorado Unit / Sac Metro Fire,Sacramento,"off of Boys Ranch Road and Scott Road, northwest of Rancho Murieta",40,CAL FIRE Amador- El Dorado Unit / Sac Metro Fire,-121.1309,38.558,2016-09-12 19:00:00,2016-09-12,2016-09-11,83.43,67.34,53.0,49.14,0.0,0.0,7.15,0.77,29.88,73.64441680908203
432,Mokelumne Fire,2016-08-18 12:05:00,Stanislaus National Forest,Alpine,Mokelumne Wilderness,0,Stanislaus National Forest,-120.00606,38.57554,2016-08-30 12:05:00,2016-08-30,2016-08-18,95.43,79.58,62.43,36.15,0.0,0.0,6.16,2.95,25.57,1920.261596679688
433,Sunny Fire,2016-09-03 14:44:00,CAL FIRE / Fresno County Fire,Fresno,off Sunnyslope Rd & Lakeside Ln near the Pine Flat Lake Reservoir,158,CAL FIRE / Fresno County Fire,-119.34487,36.84479,2016-09-06 18:15:00,2016-09-06,2016-09-03,93.57,78.55,63.86,49.29,0.0,0.0,7.39,0.0,29.54,587.7682495117188
434,Oak Fire,2016-09-01 14:36:00,CAL FIRE Santa Clara Unit,Santa Clara,"Off Oak Glen Ave, 2 miles west of Morgan Hill",25,CAL FIRE Santa Clara Unit,-121.69784,37.11831,2016-09-02 06:55:00,2016-09-02,2016-09-01,77.29,66.42,59.29,53.83,0.0,0.0,7.35,0.32,29.91,161.5135345458984
435,Beale Fire,2016-08-18 15:35:00,CAL FIRE Nevada-Yuba-Placer Unit,Yuba,"off of Hammonton Smartsville Rd and Doolittle Rd, near Beale AFB ",400,CAL FIRE Nevada-Yuba-Placer Unit,-121.38775,36.16965,2016-08-18 21:30:00,2016-08-18,2016-08-18,65.14,57.53,53.71,53.78,0.0,0.0,3.81,0.0,29.69,1523.398803710938
437,Havilah Fire,2016-08-28 18:50:00,USFS Sequoia National Forest,Kern,south of Lake Isabella,304,USFS Sequoia National Forest,-118.5097,35.4976,2016-08-28 18:50:00,2016-08-28,2016-08-28,93.43,81.21,69.43,49.47,0.0,0.0,5.7,0.33,29.36,1138.162353515625
438,Gap Fire,2016-08-27 18:00:00,USFS Klamath National Forest,Siskiyou,"off Seiad Creek Rd, 5 miles northeast o Seiad Valley",33867,USFS Klamath National Forest,-123.118,41.851000000000006,2016-08-28 18:15:00,2016-08-28,2016-08-27,95.86,76.43,57.71,38.78,0.0,0.0,3.2,0.26,28.55,953.0235595703124
439,Bird Fire,2016-08-20 08:35:00,CAL FIRE Santa Clara Unit,San Joaquin,"off of Bird Rd & I-580, south of Tracy",147,CAL FIRE Santa Clara Unit,-121.36665,37.62215,2016-08-20 18:45:00,2016-08-20,2016-08-20,96.0,77.23,61.14,51.96,0.0,0.0,6.83,0.0,29.8,91.77351379394533
440,Tully Fire,2016-08-22 16:03:00,CAL Fire Humboldt-Del Norte Unit,Humboldt,"off of Hwy 169 & Martin's Ferry Rd, northwest of Weitchpec ",599,"CAL Fire Humboldt-Del Norte Unit, CDCR, Yurok Tribe, BIA, USFS, CCC, NDF, and NDC.",-123.82268,41.28486,2016-09-04 06:55:00,2016-09-04,2016-08-22,59.43,53.2,48.86,52.02,0.0,0.0,3.44,0.0,29.75,98.99846649169922
441,Willard Fire,2016-09-11 11:33:00,CAL FIRE Lassen-Modoc Unit,Lassen,"off of Willard Creek Road, west of Susanville",2575,"CAL FIRE Lassen-Modoc Unit, USFS LNF, BLM, Susanville City, Susanville Police, Sierra Army Depot, Standish Litchfield Fire, Milford Fire, Janesville Fire, Lake Forest Fire, Hamilton Branch Fire, California Department of Corrections and Rehabilitation, California Highway Patrol, Red Cross, Lassen County OES, Lassen County Sheriff’s Office, Susan River FD, Susanville City Fire, Bureau of Land Management, CA Office of Emergency Service, California Conservation Corp, and WM Beaty",-120.7845,40.3915,2016-09-22 07:00:00,2016-09-22,2016-09-11,79.86,65.74,50.14,28.22,0.0,0.0,4.82,1.45,25.58,1410.664794921875
442,Santos Fire,2016-08-26 15:30:00,CAL FIRE Butte Unit,Butte,"off Hwy 32 at Santos Ranch Rd, south of Forest Ranch",88,CAL FIRE Butte Unit,-121.71662,39.79547,2016-08-30 18:40:00,2016-08-30,2016-08-26,96.86,80.62,63.57,50.46,0.0,0.0,4.45,0.24,29.35,419.9772033691406
443,Willow Fire,2016-08-28 13:07:00,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,"Off Willow Creek Rd & Mountain Ranch Rd, east of San Andreas ",450,CAL FIRE Tuolumne-Calaveras Unit,-120.6381,38.1874,2016-08-31 18:50:00,2016-08-31,2016-08-28,88.86,71.87,58.0,51.61,0.0,0.0,9.0,0.82,29.87,432.2209777832031
444,Tule Fire,2016-08-22 22:00:00,US Forest Service - Sequoia National Forest,Tulare,"off Hwy 190, 4 miles northeast of Springville",395,US Forest Service - Sequoia National Forest,-118.73906,36.1648,2016-11-08 10:15:00,2016-11-08,2016-08-22,93.43,77.55,61.43,55.21,0.0,0.0,5.1,0.0,29.59,1250.184448242188
445,Grade Fire,2016-08-24 14:55:00,CAL FIRE Siskiyou Unit,Siskiyou,"off Hwy 263, 2 miles north of Yreka ",710,"CAL FIRE Siskiyou Unit, Siskiyou County Sheriff, CHP, CAL TRANS, Siskiyou County OES",-122.611,41.7813,2016-08-30 06:45:00,2016-08-30,2016-08-24,95.86,76.43,57.71,38.78,0.0,0.0,3.2,0.26,28.55,1015.168029785156
446,Howard Fire,2016-09-11 14:15:00,CAL FIRE Lassen-Modoc Unit,Modoc,"in Howards Gulch, north of Canby ",380,CAL FIRE Lassen-Modoc Unit,-120.9066,41.4657,2016-09-14 18:00:00,2016-09-14,2016-09-11,89.71,72.57,55.43,44.39,0.0,0.0,4.11,0.23,29.38,1424.037475585938
447,Range Fire,2016-08-26 10:10:00,Kern County Fire Department,Kern,"off Deer Trail Dr & Hwy 223, 6 miles east of Arvin",518,Kern County Fire Department,-118.7212,35.2013,2016-08-29 10:30:00,2016-08-29,2016-08-26,95.57,82.2,59.86,44.67,0.0,0.0,5.5,0.0,29.38,547.5736694335938
448,Mockingbird Fire,2016-08-30 16:54:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Off Hwy 29 & Mockingbird Lane, Upper Lake",20,CAL FIRE Sonoma-Lake-Napa Unit,-122.9148951,39.1408865,2016-08-31 07:05:00,2016-08-31,2016-08-30,83.57,64.8,52.0,52.08,0.0,0.0,4.22,0.0,29.76,411.9686584472656
449,Moffett Fire,2016-09-12 16:28:00,CAL FIRE Siskiyou Unit,Siskiyou,"off of Moffett Creek Rd and Luce Gulch Rd, northeast of Fort Jones",32,CAL FIRE Siskiyou Unit,-122.7933,41.6314,2016-09-13 18:30:00,2016-09-13,2016-09-12,86.14,67.5,50.0,35.53,0.0,0.0,3.24,0.49,28.61,925.43017578125
450,Old Fire,2016-09-16 23:28:00,CAL FIRE Butte Unit,Butte,"Off of Old Chico Canyon, west of Forest Ranch",30,CAL FIRE Butte Unit,-121.6998,39.8851,2016-09-19 18:30:00,2016-09-19,2016-09-16,89.71,72.57,55.43,44.39,0.0,0.0,4.11,0.23,29.38,297.1250610351562
451,Hog Fire,2016-09-13 23:10:00,CAL FIRE Tehama-Glenn Unit,Tehama,"Off Hwy 36 near Hog Lake, northeast of Red Bluff",360,CAL FIRE Tehama-Glenn Unit,-122.1295,40.30594,2016-09-13 14:30:00,2016-09-13,2016-09-13,89.71,72.57,55.43,44.39,0.0,0.0,4.11,0.23,29.38,191.1103668212891
452,Old Fire,2016-09-13 13:55:00,Stanislaus National Forest,Del Norte,"off Old Yosemite Rd, 8 miles east of Greeley Hill",150,Stanislaus National Forest,-120.029626,37.75972,2016-09-17 18:00:00,2016-09-17,2016-09-13,85.0,68.38,52.57,48.57,0.0,0.0,6.07,0.13,29.91,914.8134765625
453,Auburn Fire,2016-09-17 13:40:00,CAL FIRE Nevada-Yuba-Placer Unit / Grass Valley Fire Department,Nevada,"Off South Auburn Street and Whiting Street, Grass Valley",47,CAL FIRE Nevada-Yuba-Placer Unit / Grass Valley Fire Department,-121.05948,39.20427,2016-09-20 18:00:00,2016-09-20,2016-09-17,83.43,67.34,53.0,49.14,0.0,0.0,7.15,0.77,29.88,741.1961669921875
454,Owens River Fire,2016-09-17 13:49:00,Inyo National Forest,Inyo,"Clark Canyon, north of Mammoth Lakes, east of Hwy 395",5443,Inyo National Forest,-118.95309,37.75985,2016-09-18 08:10:00,2016-09-18,2016-09-17,71.71,54.57,36.29,24.95,0.0,0.0,6.49,5.4,23.19,2369.310791015625
455,Soup Complex,2016-09-17 14:37:00,Modoc National Forest,Modoc,"Soup Springs, 12 miles east of Likely",2652,Modoc National Forest,-120.3178,41.2649,2016-10-13 11:30:00,2016-10-13,2016-09-17,89.71,72.57,55.43,44.39,0.0,0.0,4.11,0.23,29.38,1723.69775390625
456,Canyon Fire,2016-09-17 17:20:00,Vandenberg Air Force Base,Santa Barbara,"Santa Ynez Ridge Road and Egress Road, south side of Vandenberg Air Force Base",12518,Vandenberg Air Force Base,-120.54421,34.63445,2016-09-27 14:00:00,2016-09-27,2016-09-17,70.86,58.83,52.57,52.87,0.0,0.0,4.63,0.3,29.71,193.4830780029297
457,Washington Fire,2016-09-22 14:20:00,Vandenberg Air Force Base,Santa Barbara,"off Washington Ave. and Airfield Rd, north of California Blvd ",215,Vandenberg Air Force Base,-120.55297,34.75134,2016-09-27 14:00:00,2016-09-27,2016-09-22,76.71,61.27,51.71,52.69,0.0,0.0,5.79,0.57,29.7,121.848762512207
458,Bangor Fire,2016-09-22 11:45:00,CAL FIRE Butte Unit,Butte,"off Oro-Bangor Highway & Swedes Flat, 7 miles SE of Oroville",130,CAL FIRE Butte Unit,-121.42647,39.4403,2016-09-23 10:30:00,2016-09-23,2016-09-22,88.14,70.99,55.43,44.93,0.0,0.0,7.47,0.74,29.9,230.0321655273438
459,Butte Fire,2016-09-20 09:30:00,Beale Air Force Base,Sutter,off Pass Road and Kellogg Road (Near Sutter Buttes West of Yuba City,300,Beale Air Force Base,-121.78003,39.188321,2016-09-20 18:00:00,2016-09-20,2016-09-20,88.14,70.99,55.43,44.93,0.0,0.0,7.47,0.74,29.9,56.32169723510742
460,Bell Fire,2016-09-23 13:12:00,CAL FIRE Amador-El Dorado Unit,Amador,"off Hwy 49 and Bell Road, 4 miles north of Plymouth ",45,"CAL FIRE Amador-El Dorado Unit, Amador Fire Protection District, Jackson Fire, Ione Fire, Sutter Creek Fire, CHP, Amador County Sheriff, Caltrans",-120.8416,38.5212,2016-09-25 17:45:00,2016-09-25,2016-09-23,88.14,70.99,55.43,44.93,0.0,0.0,7.47,0.74,29.9,352.18994140625
461,Marshes Fire,2016-09-26 12:20:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,off Hwy. 49 and Marshes Flat Road north of Don Pedro Reservoir,1080,"CAL FIRE Tuolumne-Calaveras Unit, Tuolumne County Sheriff’s Department, CHP, PG&E, OES, BLM, CAL FIRE, CDCR, U.S. Forest Service, City and County of San Francisco – Hetch Hetchy Water & Power. Nearly 100 different agencies from at least three different states have sent equipment and/or personnel to this fire.",-120.32484,37.79635,2016-10-04 22:00:00,2016-10-04,2016-09-26,90.14,72.01,55.29,45.81,0.0,0.0,6.41,0.98,29.93,642.5567626953125
462,Newmark Fire,2016-09-23 12:40:00,CAL FIRE Fresno-Kings unit,Fresno,"off Newmark Ave. and Fantz Ave., 3 miles southeast of Sanger",70,CAL FIRE Fresno-Kings unit,-119.5327,36.6543,2016-09-24 20:00:00,2016-09-24,2016-09-23,89.0,74.8,60.86,41.65,0.0,0.0,6.0,0.39,29.61,100.9336242675781
463,Cow Fire,2016-09-25 07:15:00,CAL FIRE Shasta-Trinity Unit,Shasta,off Whitmore Road and Old Cow Creek Road,100,CAL FIRE Shasta-Trinity Unit,-121.93923,40.0,2016-09-25 13:15:00,2016-09-25,2016-09-25,90.71,74.81,59.57,41.18,0.0,0.0,4.35,1.01,29.41,249.6172790527344
464,Sawmill Fire,2016-09-25 10:43:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"off Big Geysers Road and Geysers Resort Road, 10 miles east of Cloverdale",1547,"CAL FIRE Sonoma-Lake-Napa Unit, CAL PINE, Napa County Fire, Cloverdale FPD, Geyserville FPD, Healdsburg FD, Windsor FPD, Sonoma and Lake County Sheriff's Office, CA Highway Patrol, Red Cross, CA Dept. of Corrections and Rehabilitation, North Bay Incident Management Team, Sonoma County Animal Services",-122.82895,38.80017,2016-09-29 17:00:00,2016-09-29,2016-09-25,85.29,63.06,49.43,45.79,0.0,0.0,4.12,0.46,29.82,522.3786010742188
465,Tobin Fire,2016-09-26 13:23:00,US Forest Service - Plumas NF,Plumas,north of Hwy 70 and west of Jackass Creek Road ,248,US Forest Service - Plumas NF,-121.32,39.92,2016-10-06 17:15:00,2016-10-06,2016-09-26,90.71,74.81,59.57,41.18,0.0,0.0,4.35,1.01,29.41,591.925537109375
466,Loma Fire,2016-09-26 14:42:00,CAL FIRE Santa Clara Unit,Santa Clara,off Loma Prieta Rd and Loma Chiquita Rd 10 miles NW of Morgan Hill,4474,"CAL FIRE Santa Clara Unit, California Highway Patrol, Santa Clara County Sheriff’s Office, Santa Cruz County Sheriff’s Office, California Department of Corrections and Rehabilitation, San Jose Water Company, Santa Clara Valley Water District, Pacific Gas and Electric and Santa Clara County Office of Emergency Services, California Conservation Corps, Red Cross, Santa Clara County Fire Safe Council, Santa Clara County Parks, Santa Clara County Open Space District, and Mid-Peninsula Open Space District, Santa Clara County Roads and Airports, Santa Cruz Public Works, Pacific Gas and Electric, and Cal OES.",-121.85318,37.10632,2017-09-19 10:30:00,2017-09-19,2016-09-26,83.14,69.32,59.14,48.63,0.0,0.0,6.12,0.23,29.94,961.6346435546876
467,Sacata Fire,2016-10-11 12:58:00,USFS Sierra National Forest,Fresno,"near Sacata Ridge, located above Pine Flat",2100,USFS Sierra National Forest,-119.25959,36.94536,2016-10-20 07:00:00,2016-10-20,2016-10-11,82.57,69.25,56.43,45.96,0.0,0.0,5.43,0.13,29.62,551.5748291015625
468,Emerald Fire,2016-10-14 01:28:00,CAL FIRE Amador- El Dorado Unit / USFS El Dorado National Forest / Lake Valley Fire,El Dorado,"off Highway 89, near Cascade Lake and Emerald Bay.",176,"CAL FIRE Amador- El Dorado Unit / USFS El Dorado National Forest / Lake Valley Fire, CAL FIRE, USFS, Lake Valley, Meeks Bay Fire, South Lake Tahoe Fire, El Dorado Sheriffs, SLT PD, CHP, State Parks, CALTrans, Fallen Leaf Lake Fire, North Tahoe Fire, Liberty Utilities",-120.10744,38.93449,2016-10-17 11:45:00,2016-10-17,2016-10-14,74.43,60.09,47.43,30.31,0.0,0.0,8.7,9.76,25.53,2195.73779296875
469,Gopher Fire,2016-11-13 11:14:00,CAL FIRE San Diego Unit,San Diego,Off Gopher Canyon & Interstate 15,28,CAL FIRE San Diego Unit,-117.158475,33.254355,2016-11-14 18:00:00,2016-11-14,2016-11-13,72.71,63.81,56.14,44.09,0.0,0.0,3.12,0.0,29.65,147.5079803466797
470,Marek Fire,2016-11-14 05:45:00,Angeles National Forest ,Los Angeles,Lake View Terrace,4824,Angeles National Forest ,-118.335,34.31,2016-11-14 14:00:00,2016-11-14,2016-11-14,77.43,63.68,51.71,31.87,0.0,0.0,3.25,0.29,29.19,746.9010620117188
471,Jacobson Fire,2016-10-20 17:00:00,Sequoia National Forest,Tulare,Jacobson Drainage in the Golden Trout Wilderness,10,Sequoia National Forest,-118.551,36.217,2016-12-19 13:30:00,2016-12-19,2016-10-20,77.71,63.36,50.71,48.85,0.0,0.0,5.17,0.53,29.69,2261.837646484375
472,Meadow Fire,2016-10-29 11:15:00,Sequoia National Forest,Tulare,	East of Trail of 100 Giants between Lloyd Meadow Road and Western Divide Highway.,4347,Sequoia National Forest,-118.551,35.984,2016-12-19 13:30:00,2016-12-19,2016-10-29,78.57,64.63,54.0,52.17,0.1,0.0,3.63,0.04,29.66,1593.50244140625
474,Oroville Spillway ,2017-02-07 14:00:00,Unified Command,Butte,"Oroville Dam, Canyon Dr. & Oroville Dam Rd, Oroville, CA 95966",0,"Unified Command, Butte County Sheriff, Butte County CALFIRE, Oroville Police Department, CHP, Butte County OES, California State Parks, Caltrans, Oroville Fire Department, Butte County Public Works, PG&E, CAL FIRE, Army Corps of Engineers, Federal Energy Regulatory Commission, Oroville Hospital, Red Cross, California Conservation Corps, California National Guard, Bureau of Indian Affairs, CAL OES, Gridley-Biggs Police, and California Department of Fish and Wildlife.",-121.55633,39.51158,2018-01-09 09:24:00,2018-01-09,2017-02-07,61.29,56.57,52.0,53.83,0.3,0.0,13.05,6.45,29.91,52.01761627197266
475,Grace Fire,2017-04-03 16:00:00,CAL FIRE Shasta-Trintiy Unit,Shasta,"Grace Resort Rd and Bluebush Way, 2 miles SE of the Community of Shingletown",45,CAL FIRE Shasta-Trintiy Unit,-121.85645,40.48712,2018-01-09 09:41:00,2018-01-09,2017-04-03,67.71,57.84,50.0,41.54,0.34,0.0,8.22,6.15,29.38,1077.519409179688
477,66 Fire,2017-04-13 02:30:00,CAL FIRE Riverside Unit,Riverside,Avenue 66 and Hwy 111 near community of Mecca,15,CAL FIRE Riverside Unit,-116.08003,33.56777,2018-01-09 09:50:00,2018-01-09,2017-04-13,85.43,74.04,61.86,33.66,0.0,0.0,7.82,3.87,29.42,-59.74630737304688
478,Jayne Fire,2017-04-20 15:40:00,CAL FIRE Fresno Kings Unit,Fresno,Off of Hwy 33 and Lost Hills south of Coalinga,5738,CAL FIRE Fresno Kings Unit,-120.26561,36.07228,2018-01-09 09:51:00,2018-01-09,2017-04-20,74.71,63.17,52.0,50.75,0.06,0.0,6.33,0.47,29.75,313.3878479003906
479,Soledad Fire,2017-04-24 12:06:00,CAL FIRE San Benito-Monterey Unit ,Monterey,"Highway 101 & Front Street, north of Soledad ",10,CAL FIRE San Benito-Monterey Unit ,-121.34695,36.44141,2018-01-09 09:51:00,2018-01-09,2017-04-24,63.57,56.99,51.0,48.05,0.0,0.0,7.09,1.9,29.84,53.62871170043945
482,Tower Fire,2017-04-30 16:03:00,USFS - San Bernardino National Forest,San Bernardino,"Cleghorn Road, east of I-15, north of the community of Devore",150,USFS - San Bernardino National Forest,-117.45646,34.30104,2018-01-09 09:53:00,2018-01-09,2017-04-30,84.43,69.35,56.86,43.87,0.0,0.0,7.17,2.48,28.89,992.297119140625
483,Opera Fire,2017-04-30 15:23:00,CAL FIRE/Riverside County Fire,Riverside,"off Opera Loop & East Palmyrita Avenue, in Highgrove ",1350,CAL FIRE/Riverside County Fire,-117.30693,34.00566,2018-01-09 09:53:00,2018-01-09,2017-04-30,88.29,68.41,56.14,41.23,0.0,0.0,3.87,0.06,28.7,358.4843139648438
484,Jameson Fire,2017-04-30 19:43:00,CAL FIRE/Riverside County Fire,Riverside,"Jameson Rd and Clay Canyon Dr., south of Corona",12,CAL FIRE/Riverside County Fire,-117.5048,33.7866,2018-01-09 09:54:00,2018-01-09,2017-04-30,84.43,69.35,56.86,43.87,0.0,0.0,7.17,2.48,28.89,329.1571960449219
485,Fay Fire,2017-05-01 12:44:00,Kern County Fire,Kern,"Fay Ranch Rd, northeast of Lake Isabella",19,Kern County Fire,-118.30601,35.717040000000004,2018-01-09 09:54:00,2018-01-09,2017-05-01,88.57,76.15,63.14,46.54,0.0,0.0,6.98,0.36,29.37,1050.918579101562
486,Olive Fire,2017-05-02 14:32:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Off Highway 41, north of Cholame",130,CAL FIRE San Luis Obispo Unit,-120.22647,35.78286,2018-01-09 09:54:00,2018-01-09,2017-05-02,78.0,63.34,53.0,50.25,0.0,0.0,6.62,1.77,29.71,600.9078979492188
487,Shandon Fire,2017-05-07 16:41:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Off Lucy Brown Rd, in Shandon",12,CAL FIRE San Luis Obispo Unit,-120.3317,35.6879,2018-01-09 09:55:00,2018-01-09,2017-05-07,67.14,58.08,52.57,49.42,0.04,0.0,8.46,3.41,29.76,389.6288757324219
488,Sonoma Fire,2017-05-10 15:27:00,CAL FIRE/Fresno County Fire,Fresno,"off Sonoma Ave & Cerini Ave, west of Helm ",400,CAL FIRE/Fresno County Fire,-120.2445,36.45491,2018-01-09 09:55:00,2018-01-09,2017-05-10,77.14,65.54,54.43,46.5,0.02,0.0,9.06,2.75,29.58,76.1454086303711
489,Hub Fire,2017-05-12 05:05:00,Kern County Fire,Kern,"Red Hill Road and Schick Road, 2 miles east of Lake Isabella",31,Kern County Fire,-118.4683,35.60001,2018-01-09 09:55:00,2018-01-09,2017-05-12,78.0,66.61,55.57,45.86,0.01,0.0,6.96,0.87,29.41,796.386962890625
490,Wright Fire,2017-05-12 15:30:00,CAL FIRE Madera-Mariposa-Merced Unit,Merced,"Hwy 152 and Arburura Road, southwest of Los Banos",1800,CAL FIRE Madera-Mariposa-Merced Unit,-120.89261,36.96655,2018-01-09 09:56:00,2018-01-09,2017-05-12,78.86,64.77,51.43,46.34,0.0,0.0,9.6,3.48,29.92,110.0537643432617
491,Nacimiento Fire,2017-05-14 12:00:00,CAL FIRE San Benito-Monterey Unit,Monterey,"Off Nacimiento Lake Drive and Bee Rock Rd., near Bradley",20,CAL FIRE San Benito-Monterey Unit,-120.92482,35.77082,2018-01-09 09:56:00,2018-01-09,2017-05-14,72.57,59.99,49.57,46.91,0.0,0.0,8.97,3.41,29.74,435.3295593261719
492,Canyon Fire,2017-05-14 12:51:00,CAL FIRE/Riverside County Fire,Riverside,"Highway 79, south of Dump Road, Beaumont",17,CAL FIRE/Riverside County Fire,-116.99229,33.88466,2018-01-09 09:56:00,2018-01-09,2017-05-14,77.71,62.6,46.29,41.4,0.0,0.0,4.49,0.22,28.69,667.4720458984375
